"Lat","Lon","source","grid_id","X","Y"
30.88746,121.98088,"zggn",180778,13578849.4481154,3618142.29057205
22.8636,115.53596,"zggn",16482,12861404.235512,2615531.6781305
26.86602,120.1523,"zggn",96852,13375292.8536406,3106742.66749574
22.50205,114.11679,"zggn",9466,12703422.9537629,2571910.05626865
29.50492,112.81262,"zggn",151331,12558243.4134551,3440069.34965604
29.14131,115.74248,"zggn",143690,12884393.9367507,3393643.95512525
25.52685,119.47883,"zggn",69828,13300322.5161761,2940596.32670736
30.75937,114.15545,"zggn",177567,12707726.565277,3601538.02948619
28.70095,115.99598,"zggn",134703,12912613.4276667,3337638.45302059
33.60852,120.51558,"zggn",239200,13415732.998256,3976356.17908923
25.53146,119.40356,"zggn",69824,13291943.4981041,2941165.03474265
22.47344,114.02052,"zggn",8644,12692706.2263843,2568463.10404578
28.69213,115.99175,"zggn",134294,12912142.5462207,3336519.13506353
34.76446,119.48155,"zggn",264921,13300625.3051911,4131918.09000349
25.02319,121.58054,"zggn",59696,13534283.8031712,2878593.26224125
30.5498,114.06248,"zggn",173472,12697377.192218,3574419.09114966
22.52497,113.13949,"zggn",9831,12594630.4154107,2574671.98783479
25.96932,119.52945,"zggn",78828,13305957.5088001,2995281.59004054
22.49587,113.47617,"zggn",9028,12632109.4615709,2571165.42533241
22.45859,113.55323,"zggn",8214,12640687.7415315,2566674.24670386
29.1455,115.98779,"zggn",143701,12911701.7210371,3394177.99081789
30.58108,114.3162,"zggn",173893,12725621.173422,3578463.08177189
32.56756,121.0495,"zggn",216729,13475168.7007804,3838044.45482567
29.77789,115.73444,"zggn",157187,12883498.9280447,3475031.50453166
23.176832,120.111496,"gbif",22821,13370750.5731383,2653417.53063068
22.524468,113.994926,"gbif",9869,12689857.1153369,2574611.49036107
23.821468,120.246591,"gbif",35506,13385789.279747,2731668.24940928
23.858838,120.280911,"gbif",36325,13389609.7646711,2736216.31514253
24.431031,118.238831,"gbif",47686,13162286.4589119,2806019.76813709
22.8988,120.206,"gbif",17508,13381270.7102962,2619784.78864356
23.020651,120.142538,"gbif",19959,13374206.1527715,2634516.21781932
23.50001,120.142021,"gbif",29366,13374148.6005948,2692599.43319532
22.438,120.508,"gbif",8114,13414889.1965158,2564194.25581862
22.8458,120.2172,"gbif",16281,13382517.4885931,2613381.37700337
24.832075,121.806366,"gbif",56025,13559422.6384991,2855132.87385116
23.079268,120.058293,"gbif",20773,13364828.0422696,2641607.58020674
24.467463,118.311467,"gbif",48508,13170372.2614452,2810474.85538315
22.498443,120.422001,"gbif",9338,13405315.8316271,2571475.44319974
22.937369,120.19146,"gbif",18325,13379652.1249001,2624446.23275739
23.723755,120.181074,"gbif",33867,13378495.9606687,2719782.40126952
23.938879,120.457535,"gbif",37969,13409271.4584129,2745962.01616892
25.147624,121.417603,"gbif",62143,13516145.7392998,2893887.82787109
24.650759,121.827137,"gbif",52345,13561734.8556424,2832908.81954074
23.051929,120.104429,"gbif",20366,13369963.8782969,2638299.78086995
24.013848,120.365698,"gbif",39601,13399048.2103369,2755095.63926163
