"Lat","Lon","source","X","Y"
30.30933,113.85777,"zggn",12674588.9792577,3543373.6223433
30.54053,114.0929,"zggn",12700763.5311279,3573220.88265059
30.30933,113.85777,"zggn",12674588.9792577,3543373.6223433
22.6159,113.64651,"zggn",12651071.6236327,2585633.85779679
22.61637,113.6462,"zggn",12651037.1145905,2585690.53643356
29.4421,112.99295,"zggn",12578317.6572298,3432036.69932203
27.60993,120.64906,"zggn",13430591.9238871,3199883.30540391
34.42668,109.22431,"zggn",12158794.5714467,4086239.63389442
22.6159,113.64651,"zggn",12651071.6236327,2585633.85779679
25.89344,119.58859,"zggn",13312540.9434856,2985889.00590813
31.16472,104.41558,"zggn",11623489.1964843,3654159.69827208
29.4421,112.99295,"zggn",12578317.6572298,3432036.69932203
25.52831,119.45587,"zggn",13297766.6206675,2940776.43578127
22.51277,114.04573,"zggn",12695512.5907472,2573201.79273675
22.60629,113.65204,"zggn",12651687.2204168,2584475.0030241
23.15661,113.29138,"zggn",12611538.7328673,2650968.98710846
29.4421,112.99295,"zggn",12578317.6572298,3432036.69932203
31.3694,104.81913,"zggn",11668412.1769939,3680816.26225302
22.52747,114.00233,"zggn",12690681.3248467,2574973.27334786
29.69585,115.80827,"zggn",12891717.6460499,3464513.80237267
22.52942,114.00574,"zggn",12691060.9243103,2575208.27983329
31.39448,104.82014,"zggn",11668524.6096796,3684086.54909562
31.38833,104.81884,"zggn",11668379.8943416,3683284.54387653
28.75362,116.32213,"zggn",12948920.279589,3344324.59937154
28.75362,116.32213,"zggn",12948920.279589,3344324.59937154
30.24929,114.66081,"zggn",12763982.9831443,3535634.16488791
30.99544,104.28229,"zggn",11608651.4215565,3632156.95474024
22.52489,113.9695,"zggn",12687026.705964,2574662.34678839
29.19196,116.0498,"zggn",12918604.6426612,3400101.00231786
29.49777,112.81883,"zggn",12558934.7074929,3439154.84431625
29.132,115.96338,"zggn",12908984.4122669,3392457.42868989
29.83656,113.36817,"zggn",12620086.9565653,3482558.40794006
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
23.20884,120.12223,"zggn",13371945.4765525,2657293.91668879
29.11216,115.97578,"zggn",12910364.7739527,3389929.24955077
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
22.52806,114.00385,"zggn",12690850.5304727,2575044.37752419
22.53426,114.01529,"zggn",12692124.0254474,2575791.59231977
30.58459,104.08623,"zggn",11586826.1221916,3578916.94855505
25.89344,119.58859,"zggn",13312540.9434856,2985889.00590813
29.136,116.68641,"zggn",12989471.7436951,3392967.20131593
