"Lon","Lat","时间","source","...5","grid_id","X","Y"
118.8672,37.57436,"2021/4/12 12:00","GPS",NA,953706,13232236.1760222,4519470.42911973
119.18525,37.67595,"2021/4/9 22:01","GPS",NA,966550,13267641.340069,4533749.01574066
119.25347,37.66525,"2021/4/9 20:00","GPS",NA,966553,13275235.5557309,4532244.19887844
118.84689,37.44801,"2021/4/9 16:01","GPS",NA,935743,13229975.2771642,4501738.94603007
118.84162,37.48804,"2021/4/9 6:01","GPS",NA,940874,13229388.6234477,4507353.35828718
118.85584,37.5073,"2021/4/8 20:00","GPS",NA,943441,13230971.5866068,4510055.74372794
118.84408,37.49264,"2021/4/8 0:00","GPS",NA,940875,13229662.4693951,4507998.72448295
118.18248,39.14865,"2021/6/30 22:01","GPS",NA,1182049,13156013.4942862,4742986.83231403
118.368,39.10978,"2021/6/27 20:00","GPS",NA,1176925,13176665.4862182,4737408.83711099
118.45007,39.11799,"2021/6/27 6:01","GPS",NA,1176929,13185801.4768276,4738586.7474375
118.42562,39.11336,"2021/6/27 2:00","GPS",NA,1176928,13183079.7152777,4737922.45226762
118.37149,39.10949,"2021/6/27 0:00","GPS",NA,1176926,13177053.9912411,4737367.23255629
118.23576,39.06628,"2021/6/16 2:00","GPS",NA,1169221,13161944.5967557,4731170.06560004
118.23562,39.06885,"2021/6/15 18:06","GPS",NA,1171787,13161929.012027,4731538.54817722
118.24115,39.06117,"2021/6/15 14:01","GPS",NA,1169222,13162544.6088111,4730437.44165376
118.28,39.07212,"2021/6/14 12:01","GPS",NA,1171789,13166869.3710284,4732007.41505597
118.28382,39.07483,"2021/6/14 8:00","GPS",NA,1171790,13167294.6114832,4732396.00315256
118.2499,39.16378,"2021/6/14 2:00","GPS",NA,1184618,13163518.6543555,4745158.87862473
118.33672,39.10984,"2021/6/10 0:00","GPS",NA,1176924,13173183.4125462,4737417.44497127
118.26319,39.09572,"2021/6/9 18:00","GPS",NA,1174355,13164998.0903882,4735391.93053232
118.41544,39.10758,"2021/5/31 8:00","GPS",NA,1176927,13181946.4828614,4737093.22062774
118.29989,39.08661,"2021/5/31 2:00","GPS",NA,1174356,13169083.5157003,4734085.31600769
118.45747,39.13366,"2021/5/28 4:02","GPS",NA,1179495,13186625.2410595,4740835.34467718
118.26756,39.12294,"2021/5/27 22:01","GPS",NA,1179487,13165484.5565629,4739297.00330149
118.46416,39.1366,"2021/5/27 0:00","GPS",NA,1179496,13187369.9684529,4741257.28145807
118.35622,39.16986,"2021/5/24 6:00","GPS",NA,1184623,13175354.1426167,4746031.84838434
118.31736,39.07514,"2021/5/15 0:01","GPS",NA,1171791,13171028.2672044,4732440.4551406
118.21674,39.11266,"2021/4/28 18:01","GPS",NA,1176919,13159827.3000408,4737822.02267093
118.22435,39.09845,"2021/4/28 16:00","GPS",NA,1174353,13160674.4413658,4735783.51748242
118.28461,39.10347,"2021/4/28 10:00","GPS",NA,1176922,13167382.553881,4736503.61804412
118.19408,39.09983,"2021/4/16 12:00","GPS",NA,1174352,13157304.8003794,4735981.46830347
118.33566,39.3524,"2021/4/3 22:02","GPS",NA,1212848,13173065.413886,4772276.29436611
118.35239,39.34426,"2021/4/3 20:00","GPS",NA,1210283,13174927.7889669,4771104.51883668
118.6713,37.95856,"2021/6/30 22:00","GPS",NA,1007583,13210428.6877758,4573573.38357329
118.65633,37.93598,"2021/6/30 8:01","GPS",NA,1005016,13208762.2349986,4570385.87737831
118.56055,37.98978,"2021/6/29 2:00","GPS",NA,1012710,13198100.0541705,4577982.17021649
118.60147,37.97218,"2021/6/27 4:00","GPS",NA,1010146,13202655.2477337,4575496.52500437
118.65334,37.91305,"2021/6/23 4:02","GPS",NA,1002450,13208429.3897212,4567149.96532821
118.62235,37.96289,"2021/6/19 2:02","GPS",NA,1010147,13204979.5987015,4574184.74008109
118.64593,37.96342,"2021/6/18 20:01","GPS",NA,1010148,13207604.5122944,4574259.57372335
118.61836,37.95877,"2021/6/17 20:00","GPS",NA,1007580,13204535.4339332,4573603.0328263
118.62971,37.95448,"2021/6/16 20:00","GPS",NA,1007581,13205798.9101537,4572997.35776617
118.66163,37.9521,"2021/6/16 18:01","GPS",NA,1007582,13209352.2282998,4572661.35748734
118.6785,37.96529,"2021/6/9 16:00","GPS",NA,1010149,13211230.1881095,4574523.61371942
118.6894,37.96898,"2021/6/9 14:00","GPS",NA,1010150,13212443.5705592,4575044.6535457
118.68982,37.98717,"2021/6/9 2:01","GPS",NA,1012716,13212490.3247453,4577613.52267922
118.71188,37.93678,"2021/6/3 8:00","GPS",NA,1005019,13214946.0327122,4570498.79266057
118.7384,37.96547,"2021/6/1 18:01","GPS",NA,1010152,13217898.225608,4574549.0296888
118.68655,37.92184,"2021/5/27 6:01","GPS",NA,1002452,13212126.3100104,4568390.30254251
118.68522,37.92143,"2021/5/9 16:01","GPS",NA,1002451,13211978.2550876,4568332.44506483
118.22967,39.29584,"2021/4/20 22:00","GPS",NA,1205145,13161266.6610568,4764137.14409772
118.27104,39.24052,"2021/4/20 20:01","GPS",NA,1194883,13165871.9483909,4756182.79168204
118.26595,39.24374,"2021/4/20 16:00","GPS",NA,1197449,13165305.3321828,4756645.61702514
117.99625,39.24942,"2021/4/19 18:00","GPS",NA,1197437,13135282.4655158,4757462.08123021
117.95937,39.25348,"2021/4/17 20:01","GPS",NA,1197435,13131177.0026954,4758045.7211727
117.94312,39.30158,"2021/4/16 0:00","GPS",NA,1205132,13129368.06097,4764962.84699484
117.94489,39.30057,"2021/4/15 20:00","GPS",NA,1205133,13129565.0964687,4764817.55290061
118.43054,39.01636,"2021/6/30 22:00","GPS",NA,1164098,13183627.4071724,4724015.27320588
118.42699,39.01371,"2021/6/30 18:00","GPS",NA,1161532,13183232.2229801,4723635.60275235
118.3814,38.98008,"2021/6/28 4:00","GPS",NA,1156398,13178157.1673948,4718818.60503276
118.37686,38.98505,"2021/6/28 0:00","GPS",NA,1158964,13177651.7769066,4719530.33953926
118.43922,39.02571,"2021/6/21 4:02","GPS",NA,1164099,13184593.6603525,4725354.97886246
118.33157,39.04985,"2021/6/6 12:00","GPS",NA,1166660,13172610.1171686,4728814.67488244
118.3743,39.2263,"2021/6/4 20:00","GPS",NA,1194888,13177366.7990102,4754139.13998906
118.36612,39.20832,"2021/6/3 22:00","GPS",NA,1192321,13176456.2055755,4751555.70610217
118.37591,39.22409,"2021/6/3 18:00","GPS",NA,1192322,13177546.0233904,4753821.56322729
118.33367,39.16174,"2021/5/25 4:01","GPS",NA,1184622,13172843.8880993,4744865.99120368
118.33267,39.15515,"2021/5/24 18:00","GPS",NA,1182056,13172732.5686085,4743919.90800544
118.35154,39.14892,"2021/5/20 0:01","GPS",NA,1182057,13174833.1673997,4743025.5891272
118.32547,39.15441,"2021/5/19 22:00","GPS",NA,1182055,13171931.0682748,4743813.67657917
118.3233,39.17124,"2021/5/19 16:00","GPS",NA,1184621,13171689.5049797,4746230.00005551
118.29974,39.15079,"2021/5/16 16:00","GPS",NA,1182054,13169066.8177767,4743294.02002542
118.25285,39.13488,"2021/5/15 20:00","GPS",NA,1179486,13163847.0468534,4741010.43195122
118.39161,39.07084,"2021/5/4 18:02","GPS",NA,1171794,13179293.7393958,4731823.88047926
118.609,39.16684,"2021/4/7 20:00","GPS",NA,1184634,13203493.4834994,4745598.22568314
118.60573,39.17593,"2021/4/7 14:00","GPS",NA,1187200,13203129.4687645,4746903.45762661
119.06833,37.19833,"2021/4/5 20:00","GPS",NA,899829,13254625.8652055,4466787.60441178
119.06567,37.19677,"2021/4/5 14:00","GPS",NA,899828,13254329.7553599,4466569.59280214
118.23668,39.16355,"2021/6/20 8:01","GPS",NA,1184617,13162047.0106872,4745125.85657889
118.2291,39.13859,"2021/6/10 12:02","GPS",NA,1182051,13161203.208947,4741542.88812119
118.26401,38.06322,"2021/6/6 18:01","GPS",NA,1022961,13165089.3723706,4588360.53210293
118.22405,38.06374,"2021/6/6 8:00","GPS",NA,1022959,13160641.0455185,4588434.05434989
118.28484,38.05428,"2021/6/5 18:00","GPS",NA,1022962,13167408.1573638,4587096.59671181
118.35915,38.05484,"2021/6/5 16:01","GPS",NA,1022965,13175680.3087247,4587175.76486571
118.346,38.06899,"2021/6/3 12:00","GPS",NA,1025530,13174216.4574208,4589176.37553741
118.31845,38.04438,"2021/6/1 0:00","GPS",NA,1020397,13171149.6054494,4585697.11684041
118.31295,38.05167,"2021/5/26 16:01","GPS",NA,1022963,13170537.34825,4586727.62455606
118.36479,38.04505,"2021/5/25 12:00","GPS",NA,1020399,13176308.1506528,4585791.82314411
118.34727,38.06407,"2021/5/23 22:00","GPS",NA,1022964,13174357.8331741,4588480.71296994
118.37195,38.04356,"2021/5/23 6:00","GPS",NA,1020400,13177105.1982068,4585581.20881226
118.1069,37.92724,"2021/5/22 18:06","GPS",NA,1004992,13147599.9671721,4569152.35796193
118.13203,37.94217,"2021/5/22 16:00","GPS",NA,1004993,13150397.4259757,4571259.59141144
118.14384,37.9915,"2021/5/22 8:01","GPS",NA,1012691,13151712.109162,4578225.11752545
118.01691,38.17847,"2021/5/22 4:01","GPS",NA,1040912,13137582.3261956,4604668.40699045
118.21742,39.21835,"2021/5/20 10:00","GPS",NA,1192315,13159902.9972946,4752996.7725539
118.30527,39.17689,"2021/5/9 18:00","GPS",NA,1187187,13169682.4145607,4747041.31375527
118.36661,39.29397,"2021/4/21 4:00","GPS",NA,1202585,13176510.752126,4763868.15794802
118.36703,39.29477,"2021/4/18 0:01","GPS",NA,1205151,13176557.5063121,4763983.23135735
118.37418,39.2622,"2021/4/3 8:01","GPS",NA,1200020,13177353.4406713,4759299.36751536
117.44614,38.61155,"2021/6/30 22:00","GPS",NA,1102470,13074044.5004355,4666181.20394195
117.45237,38.60575,"2021/6/25 6:00","GPS",NA,1102471,13074738.0208632,4665354.95447066
117.4478,38.61344,"2021/6/23 12:00","GPS",NA,1105036,13074229.2907902,4666450.46173354
117.43297,38.63106,"2021/6/22 12:00","GPS",NA,1107602,13072578.4227418,4668961.02659913
117.48696,38.54934,"2021/6/22 0:00","GPS",NA,1094774,13078588.5620497,4657322.44636418
117.84028,38.28408,"2021/6/21 22:00","GPS",NA,1056300,13117919.9645368,4619634.88381362
117.84267,38.20978,"2021/6/21 0:00","GPS",NA,1046036,13118186.0181198,4609103.22481636
117.84532,38.27431,"2021/6/20 2:01","GPS",NA,1053734,13118481.0147704,4618249.41944486
117.81985,38.30772,"2021/6/18 6:00","GPS",NA,1058865,13115645.7073399,4622987.99713065
117.46214,38.63517,"2021/6/17 6:00","GPS",NA,1107603,13075825.6122882,4669546.72382819
117.45083,38.61552,"2021/6/15 8:00","GPS",NA,1105037,13074566.5888473,4666746.79596816
117.41821,38.62392,"2021/5/27 20:00","GPS",NA,1105035,13070935.3470577,4667943.61780712
117.41779,38.61036,"2021/5/13 16:00","GPS",NA,1102469,13070888.5928715,4666011.67489743
117.43249,38.65076,"2021/5/11 18:00","GPS",NA,1110168,13072524.9893862,4671768.68849392
117.421,38.64771,"2021/5/11 10:00","GPS",NA,1107601,13071245.928437,4671333.94922411
117.5085,38.57996,"2021/4/29 12:00","GPS",NA,1099907,13080986.3838814,4661681.80184766
117.49411,38.59318,"2021/4/25 20:00","GPS",NA,1099906,13079384.4964089,4663564.50159726
117.39558,38.63495,"2021/4/17 20:00","GPS",NA,1107600,13068416.186981,4669515.37178769
117.39454,38.62639,"2021/4/17 16:00","GPS",NA,1105034,13068300.4147106,4668295.56709028
117.55647,38.57605,"2021/4/12 20:00","GPS",NA,1097343,13086326.3798547,4661125.03345626
117.50027,38.59934,"2021/4/12 16:00","GPS",NA,1102473,13080070.2244722,4664441.88403218
117.49742,38.54445,"2021/4/4 22:00","GPS",NA,1094775,13079752.9639234,4656626.43123159
117.97878,39.31574,"2021/4/3 22:00","GPS",NA,1207700,13133337.7140116,4767000.06220449
117.8025,39.36155,"2021/4/1 22:00","GPS",NA,1212824,13113714.3141746,4773593.62517308
118.15903,39.22062,"2021/5/1 10:01","GPS",NA,1192312,13153403.0522271,4753322.94477596
118.12978,39.21034,"2021/4/29 22:00","GPS",NA,1192311,13150146.9571214,4751845.9142986
118.83249,37.45712,"2021/4/28 20:00","GPS",NA,935742,13228372.2764968,4503016.4059337
118.54502,39.19651,"2021/4/22 18:04","GPS",NA,1189763,13196371.2624784,4749859.16085573
118.53872,39.18077,"2021/4/22 10:01","GPS",NA,1187197,13195669.9496864,4747598.5014537
118.82966,39.17608,"2021/6/28 18:00","GPS",NA,1187210,13228057.2423378,4746924.99752264
118.81312,39.16459,"2021/6/23 0:00","GPS",NA,1184643,13226216.0179601,4745275.17451543
118.82853,39.17233,"2021/6/22 20:00","GPS",NA,1184644,13227931.4513132,4746386.51390671
118.8205,39.18573,"2021/5/22 12:00","GPS",NA,1187209,13227037.5558022,4748310.82742096
118.82904,39.15374,"2021/5/17 14:01","GPS",NA,1182078,13227988.2242535,4743717.49503525
118.81548,39.14632,"2021/5/16 12:00","GPS",NA,1182077,13226478.7319584,4742652.3815483
118.85258,39.12054,"2021/5/11 16:00","GPS",NA,1179513,13230608.6850668,4738952.63058974
118.84387,39.17567,"2021/4/26 14:00","GPS",NA,1187211,13229639.092302,4746866.12191567
118.84818,39.11919,"2021/4/21 6:00","GPS",NA,1176947,13230118.8793073,4738758.92609483
118.84308,39.11805,"2021/4/21 2:00","GPS",NA,1176946,13229551.1499043,4738595.35630072
118.86294,39.14235,"2021/4/17 2:00","GPS",NA,1182079,13231761.9549914,4742082.54887848
118.86912,39.13048,"2021/4/15 2:00","GPS",NA,1179514,13232449.9094445,4740378.98390892
118.85861,39.16728,"2021/4/8 10:00","GPS",NA,1184645,13231279.9415963,4745661.40134177
118.8727,39.13952,"2021/4/7 22:00","GPS",NA,1182080,13232848.4332216,4741676.36535974
118.1935,39.2394,"2021/6/30 23:00","GPS",NA,1194880,13157240.2350748,4756021.81393384
118.41065,39.27929,"2021/6/30 20:00","GPS",NA,1202587,13181413.2625005,4761756.79425794
118.10432,39.25012,"2021/6/29 17:00","GPS",NA,1197442,13147312.7628858,4757562.70639573
117.80914,39.25365,"2021/6/29 14:00","GPS",NA,1197428,13114453.4755935,4758070.16003549
117.90228,39.24703,"2021/6/29 11:00","GPS",NA,1197433,13124821.772966,4757118.52573393
118.21841,39.24247,"2021/6/28 17:00","GPS",NA,1197447,13160013.2035904,4756463.07157304
