设备,IMEI,时间,东西,经度,南北,纬度,速度,航向,高度,温度,电压,运动量,卫星,HDOP,VDOP,精度,有效性
S15M·C67·N066·190621_211126,039053549,2021-06-24 00:02:46,东经,118.3469800,北纬,39.0539600,0,218,42,31.63,4.122,1003,5,4.1,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-23 20:00:42,东经,118.3558600,北纬,39.0584000,1.8,341,7,29.48,4.2,3065,7,1.1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-23 18:02:36,东经,118.3554600,北纬,39.0584100,0,41,108,36,4.188,617,8,0.9,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-23 16:02:56,东经,118.3553700,北纬,39.0585800,0,209,35,41.11,4.176,2535,5,1.2,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-23 12:01:09,东经,118.3562800,北纬,39.0563500,0,92,25,33,4.191,1409,5,2.3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-23 10:01:08,东经,118.3549500,北纬,39.0570700,0,228,29,33.08,4.14,1784,5,1.5,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-23 08:00:37,东经,118.3552500,北纬,39.0570300,0,0,6,32.5,4.119,2144,8,1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-23 06:00:42,东经,118.3550000,北纬,39.0568200,0,0,11,30.87,4.11,662,9,0.9,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-23 04:02:42,东经,118.3465500,北纬,39.0521500,0,329,4,34,4.107,0,7,1.1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-23 02:00:42,东经,118.3551900,北纬,39.0573200,0,211,1,30.27,4.146,1305,7,0.9,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 22:00:42,东经,118.3551800,北纬,39.0591200,0,0,108,26.5,4.203,3842,4,2.1,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 20:00:58,东经,118.3551100,北纬,39.0577200,1.8,216,65,31.61,4.203,3119,4,1.3,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 18:00:49,东经,118.3563500,北纬,39.0580100,0,48,15,35.75,4.209,2370,15,0.8,0.7,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 16:00:42,东经,118.3552900,北纬,39.0572100,1.9,359,20,40.62,4.215,3738,6,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 14:00:40,东经,118.3558000,北纬,39.0566300,0,100,1,40.25,4.218,2704,6,2.2,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 12:01:08,东经,118.3546800,北纬,39.0575400,2.2,259,27,38.02,4.2,2291,6,1.5,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 10:00:30,东经,118.3553500,北纬,39.0571500,0,118,88,29.25,4.209,1708,5,1.5,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 08:00:32,东经,118.3551900,北纬,39.0570000,0,231,73,30.37,4.167,2303,5,1.5,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 06:00:25,东经,118.3550300,北纬,39.0565600,0,11,9,29.07,4.17,3241,7,1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 04:00:32,东经,118.3470200,北纬,39.0520700,0,0,79,30.61,4.173,1212,6,1.2,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 02:00:30,东经,118.3461700,北纬,39.0519100,0,161,1,29.5,4.194,1925,6,1.5,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-22 00:00:41,东经,118.3555700,北纬,39.0572800,2.6,186,78,30.25,4.197,2831,4,2.9,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 22:00:42,东经,118.3555000,北纬,39.0570400,0,0,29,28.75,4.203,2251,5,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 20:00:32,东经,118.3551900,北纬,39.0573500,0,44,25,32.02,4.209,2255,5,1.2,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 18:00:39,东经,118.3551500,北纬,39.0574600,0,213,64,34.62,4.212,119,6,1.1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 16:03:12,东经,118.3550000,北纬,39.0570300,0,251,24,35.62,4.17,3522,8,1.1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 14:00:33,东经,118.3547900,北纬,39.0558000,1.5,353,83,36.28,4.215,1921,8,1.3,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 12:00:33,东经,118.3553800,北纬,39.0578000,0,0,58,33,4.212,4011,7,1.1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 10:01:21,东经,118.3725300,北纬,39.0298700,2.4,23,3094,35.34,4.137,871,6,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 08:00:42,东经,118.3557300,北纬,39.0578000,0,156,56,29.3,4.071,2685,6,1.1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 06:00:45,东经,118.3746900,北纬,39.0536000,0,86,1535,31.76,4.083,1490,7,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 04:00:30,东经,118.3556500,北纬,39.0572400,0,263,13,29.91,4.092,2519,5,1.5,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-21 02:01:08,东经,118.3554100,北纬,39.0577000,0,231,0,30.12,4.083,1529,5,1.7,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-20 22:01:52,东经,118.3553300,北纬,39.0577600,0,171,5,30.73,4.14,1887,4,2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-20 20:02:37,东经,118.3546100,北纬,39.0572200,0,297,17,32.75,4.173,2231,4,1.7,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-20 10:01:21,东经,118.3557100,北纬,39.0575100,1.7,125,29,45.95,4.116,0,4,1.6,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-20 08:02:44,东经,118.3555100,北纬,39.0574500,0,304,5,35.75,3.975,3575,5,3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-20 06:01:09,东经,118.3557000,北纬,39.0573000,0,190,11,30.62,3.987,418,4,2.1,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-20 04:02:42,东经,118.3555800,北纬,39.0567900,0,40,7,32.28,4.014,2387,5,2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-20 02:02:45,东经,118.3556500,北纬,39.0570400,0,302,5,32.12,4.05,941,4,2.4,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-19 06:02:36,东经,118.3559800,北纬,39.0560500,0,222,15,29.86,4.05,3052,4,1.8,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-19 04:01:12,东经,118.3554300,北纬,39.0577600,0,44,7,28.88,4.074,362,4,1.5,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-19 02:01:22,东经,118.3555700,北纬,39.0576900,1.8,94,0,29.12,4.092,323,5,1.9,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-19 00:01:42,东经,118.3556700,北纬,39.0573500,0,280,6,30.8,4.125,414,4,2.6,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-18 22:02:42,东经,118.3385500,北纬,39.0515300,0,135,2,29.62,4.125,1352,4,1.8,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-18 16:01:11,东经,118.3554000,北纬,39.0567500,0,107,16,37.5,4.2,375,5,1.5,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-18 08:02:42,东经,118.3556700,北纬,39.0567800,1.6,340,1,30.76,4.008,3610,5,1.5,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-18 04:01:08,东经,118.3554500,北纬,39.0576700,0,240,7,28.5,4.061,174,5,1.2,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-18 02:01:55,东经,118.3553400,北纬,39.0574800,0,193,16,28.86,4.092,2322,5,1.9,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 22:00:43,东经,118.3418400,北纬,39.0539000,2,324,39,28.5,4.173,1990,3,3.8,1,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 20:03:12,东经,118.3556400,北纬,39.0563400,0,213,0,34.87,4.131,3727,5,2.4,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 18:01:33,东经,118.3570900,北纬,39.0553100,0,0,1,36.36,4.194,3502,6,1.3,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 16:01:11,东经,118.3569000,北纬,39.0552900,0,170,6,40.37,4.203,2021,4,3.1,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 10:01:23,东经,118.3559600,北纬,39.0559300,0,200,10,27.25,4.026,1233,4,2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 08:01:53,东经,118.3547100,北纬,39.0590100,0,7,14,28.01,4.034,4036,5,4.3,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 06:00:51,东经,118.3547400,北纬,39.0589000,0,194,6,26.75,4.059,383,5,1.6,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 04:00:43,东经,118.3545800,北纬,39.0588600,0,245,5,28.25,4.067,202,4,1.5,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 02:00:43,东经,118.3546700,北纬,39.0587700,0,335,11,27.45,4.086,473,4,1.9,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-17 00:01:08,东经,118.3545400,北纬,39.0589000,3.4,142,5,26.01,4.083,2538,5,1.7,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-16 22:01:42,东经,118.3544900,北纬,39.0585700,0,160,56,25.3,4.101,1329,5,3.3,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-16 04:00:51,东经,118.3677700,北纬,39.0509600,1.9,301,9,28.96,4.104,489,5,1.5,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-16 02:01:08,东经,118.3681500,北纬,39.0509400,0,356,11,29.55,4.104,1227,6,1.3,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-16 00:00:43,东经,118.3687300,北纬,39.0505000,0,0,9,27.15,4.128,974,5,1.7,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-15 22:01:13,东经,118.3695700,北纬,39.0502400,1.7,330,10,28.5,4.125,706,5,3.4,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-15 08:03:15,东经,118.3731800,北纬,39.0481400,0,261,47,30.65,3.855,1301,5,2,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-15 04:00:51,东经,118.3705500,北纬,39.0507600,0,284,5,28.87,3.93,191,7,2.2,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-15 02:01:07,东经,118.3708000,北纬,39.0506200,0,267,6,28.57,3.921,277,4,2.2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-14 16:02:22,东经,118.3736200,北纬,39.0482200,3.1,270,38,28.67,3.999,3836,4,4.1,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-14 12:02:36,东经,118.3729600,北纬,39.0483900,0,11,3,32.4,3.957,1191,4,4.6,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-14 08:03:13,东经,118.3732600,北纬,39.0482100,2.8,232,13,30.62,3.963,3031,4,1.6,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-14 04:02:36,东经,118.3706400,北纬,39.0504800,0,121,43,29.8,4.071,365,5,2.7,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-14 02:00:43,东经,118.3707800,北纬,39.0506100,0,351,7,27.95,4.107,640,8,1.1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-14 00:01:06,东经,118.3707700,北纬,39.0504700,0,164,58,27.77,4.116,804,3,4.8,1,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-13 22:01:52,东经,118.3709000,北纬,39.0505300,0,241,1,32.12,4.137,2446,5,2,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-13 16:02:50,东经,118.3734700,北纬,39.0484200,0,112,32,45.83,4.185,0,3,2.2,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-13 10:02:00,东经,118.3723800,北纬,39.0490300,2.7,318,159,36.12,4.083,1380,5,1.8,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-13 06:02:30,东经,118.3730900,北纬,39.0481500,2.2,223,27,35.5,4.059,0,4,1.6,1,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-13 04:01:08,东经,118.3707800,北纬,39.0507400,0,121,12,31.62,4.098,96,4,2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-13 02:01:08,东经,118.3707600,北纬,39.0507100,0,350,9,30.53,4.11,306,4,1.9,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-13 00:00:33,东经,118.3713300,北纬,39.0507100,0,59,37,30.87,4.137,2651,6,2.3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-12 22:02:25,东经,118.3734100,北纬,39.0486800,0,294,23,32.37,4.137,1931,7,1.7,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-12 18:00:37,东经,118.3730600,北纬,39.0482800,0,262,1,39.77,4.212,2954,4,2.8,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-12 16:01:15,东经,118.3735400,北纬,39.0485500,1.7,217,14,40.62,4.197,2435,6,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-12 14:03:15,东经,118.3738700,北纬,39.0486300,1.6,160,69,41.62,4.176,3039,4,4.5,1,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-12 04:01:09,东经,118.3709600,北纬,39.0507600,0,167,19,29.98,4.041,107,4,2.2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-12 02:02:22,东经,118.3707500,北纬,39.0505900,0,140,12,30.25,4.056,112,5,2.4,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-12 00:01:43,东经,118.3707600,北纬,39.0505600,2,218,6,30.37,4.08,1342,4,2.1,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-11 18:01:42,东经,118.3736800,北纬,39.0485500,0,337,48,36.76,4.185,95,6,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-11 16:03:22,东经,118.3734100,北纬,39.0485700,0,45,3,37.71,4.158,3515,4,1.9,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-11 08:01:30,东经,118.3734800,北纬,39.0479400,1.6,187,111,30.82,4.101,1488,4,1.5,1,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-11 06:00:42,东经,118.3708200,北纬,39.0507200,0,187,22,28.62,4.116,144,5,1.6,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-11 04:00:52,东经,118.3708000,北纬,39.0506700,0,0,11,28.78,4.122,184,6,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-11 02:00:51,东经,118.3709600,北纬,39.0504400,0,0,30,28.57,4.146,467,4,1.8,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-11 00:00:42,东经,118.3708300,北纬,39.0506800,0,0,7,28.48,4.155,326,6,1.4,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-10 22:00:43,东经,118.3707700,北纬,39.0506600,0,106,3,28.28,4.164,2932,5,1.4,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-10 16:01:12,东经,118.3735700,北纬,39.0486800,0,86,51,33.25,4.188,3138,5,1.8,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-10 14:03:50,东经,118.3728300,北纬,39.0481600,0,198,28,41.43,4.125,0,6,2.3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-10 06:00:51,东经,118.3707100,北纬,39.0507000,0,257,5,29.32,4.077,157,6,1.1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-10 04:00:36,东经,118.3706600,北纬,39.0507500,0,0,20,28.75,4.086,230,7,1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-10 02:01:36,东经,118.3709100,北纬,39.0507500,0,312,8,27.83,4.083,200,7,1.6,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-10 00:00:41,东经,118.3708200,北纬,39.0506900,0,28,4,27.52,4.128,152,6,1.2,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-09 22:00:42,东经,118.3706600,北纬,39.0507700,0,0,25,26.95,4.134,1,8,1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-09 20:02:42,东经,118.3733200,北纬,39.0484900,0,281,10,30.47,4.137,3813,8,1.2,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-09 16:03:15,东经,118.3736400,北纬,39.0486100,0,80,12,31.5,4.158,2599,5,4.2,0.8,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-09 14:03:12,东经,118.3734700,北纬,39.0490000,0,175,4,35.76,4.17,2550,6,1.1,0.9,A,可用
