设备,IMEI,时间,东西,经度,南北,纬度,速度,航向,高度,温度,电压,运动量,卫星,HDOP,VDOP,精度,有效性
S15M·C67·N066·190621_211126,039053549,2021-06-30 20:00:36,东经,118.3566100,北纬,39.0560800,0,278,13,34.37,4.209,3286,8,1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 18:00:38,东经,118.3567700,北纬,39.0568000,0,327,6,38.47,4.212,516,8,1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 16:00:39,东经,118.3552200,北纬,39.0551700,0,236,3,38,4.215,1668,5,2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 14:00:46,东经,118.3545800,北纬,39.0576300,0,0,64,40.97,4.212,2341,6,2,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 12:00:54,东经,118.3555200,北纬,39.0573400,0,99,24,35.28,4.203,867,5,1.3,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 10:01:25,东经,118.3562700,北纬,39.0567600,3.2,91,70,33.51,4.098,2136,5,2.4,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 08:00:40,东经,118.3560100,北纬,39.0561900,0,187,27,30.23,4.067,1031,5,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 06:02:15,东经,118.3551700,北纬,39.0568800,2.7,4,53,36,4.065,0,6,1,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 04:01:25,东经,118.3552700,北纬,39.0579100,0,29,4,30.25,4.095,1707,5,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 02:01:36,东经,118.3555800,北纬,39.0576900,0,276,6,30.08,4.113,2830,4,1.9,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-30 00:01:10,东经,118.3551600,北纬,39.0578100,0,270,13,31.37,4.134,1237,5,2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 22:01:06,东经,118.3565500,北纬,39.0566300,2.5,151,1,29.46,4.158,3407,4,3.6,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 18:00:52,东经,118.3559400,北纬,39.0560800,1.6,266,2,30.76,4.197,3390,4,2.7,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 16:01:25,东经,118.3554800,北纬,39.0576800,0,217,35,32.71,4.188,1674,6,1.9,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 14:02:12,东经,118.3554700,北纬,39.0568200,2.3,158,18,32.25,4.179,3767,4,5,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 12:01:16,东经,118.3555800,北纬,39.0577200,0,310,26,40,4.137,0,4,2.4,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 10:01:51,东经,118.3562900,北纬,39.0562100,0,114,14,30.62,4.059,1137,5,2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 08:02:44,东经,118.3563200,北纬,39.0567100,0,287,0,29.55,4.05,1962,5,2.2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 04:01:42,东经,118.3556100,北纬,39.0575100,0,302,6,30.12,4.113,3789,4,6.5,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 02:01:13,东经,118.3352000,北纬,39.0535200,0,186,41,27.15,4.131,3117,6,1.6,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-29 00:01:14,东经,118.3353200,北纬,39.0535700,0,202,3,31.37,4.161,3886,5,2.7,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-28 22:01:09,东经,118.3552900,北纬,39.0575800,1.7,218,31,30.6,4.176,1295,4,3.3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-28 20:01:43,东经,118.3551300,北纬,39.0566200,0,60,3,36.47,4.188,0,4,6.2,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-28 18:02:36,东经,118.3565000,北纬,39.0566100,0,117,4,42,4.179,0,6,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-28 16:01:48,东经,118.3554800,北纬,39.0576000,0,47,0,43.45,4.194,116,5,5.7,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-28 12:01:52,东经,118.3556700,北纬,39.0577000,0,46,1,31.75,3.972,230,4,3.3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-28 08:02:22,东经,118.3552400,北纬,39.0567200,0,0,0,32.25,4.008,3725,5,1.9,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-28 04:00:53,东经,118.3553100,北纬,39.0577400,0,0,20,29.71,4.095,2550,6,1.8,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-28 00:03:07,东经,118.3346900,北纬,39.0534200,0,194,72,31.95,4.131,1661,4,1.9,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-27 22:01:52,东经,118.3553800,北纬,39.0573800,0,141,29,29.87,4.179,1613,4,2,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-27 20:00:54,东经,118.3557400,北纬,39.0575900,0,269,20,30.37,4.203,8,4,3.3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-27 18:02:30,东经,118.3551900,北纬,39.0572800,0,8,9,40.51,4.149,0,4,2.2,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-27 14:01:21,东经,118.3546000,北纬,39.0582900,0,295,88,41.75,4.185,1458,5,5.8,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-27 08:01:13,东经,118.3563800,北纬,39.0567500,1.6,67,9,31.51,3.975,2621,3,2.4,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-27 06:01:25,东经,118.3555600,北纬,39.0577500,1.6,168,31,30.35,3.984,1483,5,1.9,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-27 00:02:06,东经,118.3461200,北纬,39.0517000,3.4,107,8,31.37,4.104,1031,4,1.5,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-26 18:01:23,东经,118.3551000,北纬,39.0564500,0,41,4,30.47,4.185,3776,5,1.6,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-26 16:00:42,东经,118.3570400,北纬,39.0569000,0,0,25,38.37,4.212,2091,5,3.8,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-26 14:03:37,东经,118.3563700,北纬,39.0568800,0,0,24,42.36,4.179,0,4,2.2,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-26 10:01:49,东经,118.3565500,北纬,39.0565300,0,0,10,33.96,4.128,3665,4,2.4,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-26 08:01:22,东经,118.3563900,北纬,39.0567600,0,288,3,30.62,4.023,2217,4,3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-26 06:02:22,东经,118.3566400,北纬,39.0566200,2,294,7,30.37,4.05,3642,4,3.3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-26 02:00:44,东经,118.3554700,北纬,39.0577500,0,0,6,23.97,4.116,2633,7,1.2,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 22:00:48,东经,118.3470100,北纬,39.0522700,0,289,68,26.87,4.17,1093,4,3.3,1,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 20:02:12,东经,118.3559000,北纬,39.0583600,0,152,1,28.2,4.176,1907,6,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 18:01:38,东经,118.3558000,北纬,39.0583600,2.6,225,10,30.5,4.188,2562,4,1.3,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 16:02:20,东经,118.3562900,北纬,39.0568300,2,39,10,33,4.161,1271,5,3.9,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 14:03:42,东经,118.3569000,北纬,39.0561400,0,27,18,33.9,4.001,0,5,4.4,0.9,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 12:00:43,东经,118.3565200,北纬,39.0566500,0,172,13,27.5,4.001,1481,4,2.1,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 10:00:52,东经,118.3560000,北纬,39.0562400,0,42,17,27.97,4.017,2921,5,2,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 08:02:06,东经,118.3467600,北纬,39.0520900,0,43,15,30.37,4.017,2822,4,2.5,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 06:01:30,东经,118.3560000,北纬,39.0565000,2.7,121,0,30,4.047,1331,4,3,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 04:00:51,东经,118.3392700,北纬,39.0543400,0,23,12,31.36,4.067,3343,5,1.3,0.8,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-25 02:03:02,东经,118.3553300,北纬,39.0578500,0,222,4,30.23,4.026,100,5,2.1,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-24 20:01:10,东经,118.3553200,北纬,39.0583000,0,344,1,30.05,4.182,2129,6,2.1,0.8,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-24 16:02:16,东经,118.3559100,北纬,39.0567700,2.6,78,10,39.93,4.188,3023,4,4.1,1,C,可用
S15M·C67·N066·190621_211126,039053549,2021-06-24 14:02:06,东经,118.3557500,北纬,39.0565800,0,358,20,39.11,4.191,3743,5,2.2,0.9,B,可用
S15M·C67·N066·190621_211126,039053549,2021-06-24 08:01:56,东经,118.3558100,北纬,39.0577600,0,20,37,31.31,4.038,1944,7,1.4,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-24 06:02:14,东经,118.3550500,北纬,39.0570800,2.1,26,55,31.37,4.053,3294,8,1.2,0.9,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-24 04:01:30,东经,118.3551400,北纬,39.0568800,0,297,9,32,4.089,66,5,1.2,0.7,A,可用
S15M·C67·N066·190621_211126,039053549,2021-06-24 02:01:12,东经,118.3554800,北纬,39.0578500,0,314,35,24.85,4.101,1096,3,2.2,1,B,可用
