E,N,Season,ID,Resource,,,Row Labels,Count of Resource
12747209.36,3608302.672,wintering,120,GBIF,,,,
12752218.74,3573755.991,wintering,121,GPS,,,,
12754541.98,3557042.687,wintering,122,GPS,,,,
12754511.92,3558976.517,wintering,123,GPS,,,,
12754058.85,3560204.356,wintering,124,GPS,,,,
12753032.48,3572654.779,wintering,125,GPS,,,,
12755110.82,3558558.227,wintering,126,GPS,,,,
12763982.98,3535634.165,wintering,127,CBRC,,,,
12765668.36,3587780.344,wintering,128,CBRC,,,,
12769975.31,3553990.214,wintering,129,GPS,,,,
12770033.2,3553836.642,wintering,130,GPS,,,,
12771985.74,3589514.433,wintering,131,GBIF,,,,
12771580.54,3592374.912,wintering,132,GPS,,,,
12771841.03,3593301.796,wintering,133,GPS,,,,
12809951.25,3483635.141,wintering,134,GPS,,,,
12810623.62,3483972.681,wintering,135,GPS,,,,
12810345.32,3485414.065,wintering,136,GPS,,,,
12826982.02,2620306.837,wintering,137,CBRC,,,,
12829116.02,2610678.316,wintering,138,GBIF,,,,
12830249.25,2611809.902,wintering,139,CBRC,,,,
12844480.33,3488731.277,wintering,140,CBRC,,,,
12860676.21,2614873.27,wintering,141,GBIF,,,,
12881194.61,3473568.588,wintering,142,GBIF,,,,
12884393.94,3393643.955,wintering,143,CBRC,,,,
12883498.93,3475031.505,wintering,144,CBRC,,,,
12891717.65,3464513.802,wintering,145,CBRC,,,,
12895357.79,3499573.415,wintering,146,GPS,,,,
12901512.65,3386127.322,wintering,147,GBIF,,,,
12907479.37,3389726.66,wintering,148,GPS,,,,
12906109.03,3390507.731,wintering,149,GPS,,,,
12906340.57,3393044.943,wintering,150,GPS,,,,
12906842.63,3395351.926,wintering,151,GPS,,,,
12907549.5,3388595.271,wintering,152,GPS,,,,
12908624.85,3391274.833,wintering,153,GBIF,,,,
12908316.5,3393831.311,wintering,154,GPS,,,,
12908316.5,3395202.789,wintering,155,GPS,,,,
12912142.55,3336519.135,wintering,156,CBRC,,,,
12910364.77,3389929.25,wintering,157,CBRC,,,,
12911701.72,3394177.991,wintering,158,CBRC,,,,
12910630.27,3397995.387,wintering,159,GBIF,,,,
12910915.81,3497087.169,wintering,160,GPS,,,,
12912613.43,3337638.453,wintering,161,CBRC,,,,
12914700.67,3399436.028,wintering,162,GBIF,,,,
12912925.12,3490624.296,wintering,163,GBIF,,,,
12913240.16,3497317.143,wintering,164,GPS,,,,
12912701.37,3497797.659,wintering,165,GPS,,,,
12915119.23,3399379.287,wintering,166,GBIF,,,,
12917035.04,3401786.861,wintering,167,CBRC,,,,
12915535.56,3495716.408,wintering,168,GPS,,,,
12915084.72,3498616.121,wintering,169,GPS,,,,
12919976.77,3340812.651,wintering,170,GBIF,,,,
12918344.16,3373590.917,wintering,171,GBIF,,,,
12918604.64,3400101.002,wintering,172,CBRC,,,,
12920694.11,3385593.996,wintering,173,GPS,,,,
12924889.74,3382680.003,wintering,174,GPS,,,,
12922952.78,3386717.483,wintering,175,GPS,,,,
12927426.71,2623881.867,wintering,176,GPS,,,,
12925530.94,3301999.743,wintering,177,GPS,,,,
12926768.81,3303404.783,wintering,178,GPS,,,,
12926798.87,3380606.978,wintering,179,GPS,,,,
12926913.53,3388443.662,wintering,180,GPS,,,,
12926063.05,3417462.245,wintering,181,GPS,,,,
12926461.57,3418086.639,wintering,182,GPS,,,,
12926687.55,3453550.133,wintering,183,GPS,,,,
12927952.14,2620431.31,wintering,184,GPS,,,,
12929567.39,3301113.757,wintering,185,GPS,,,,
12927995.55,3303373.137,wintering,186,GPS,,,,
12927625.97,3380586.606,wintering,187,GPS,,,,
12927719.48,3394866.279,wintering,188,GPS,,,,
12929774.44,3395288.192,wintering,189,GPS,,,,
12927987.76,3414887.096,wintering,190,GPS,,,,
12927976.63,3415041.565,wintering,191,GPS,,,,
12928843.81,3420988.102,wintering,192,GPS,,,,
12927514.65,3464754.726,wintering,193,GPS,,,,
12931966.32,3382123.514,wintering,194,GPS,,,,
12930757.39,3393924.353,wintering,195,GPS,,,,
12930181.87,3395656.58,wintering,196,GPS,,,,
12930781.88,3459347.841,wintering,197,GPS,,,,
12933877.68,3377350.392,wintering,198,GPS,,,,
12933433.51,3379924.531,wintering,199,GPS,,,,
12932879.14,3381844.642,wintering,200,GPS,,,,
12934453.2,3447195.751,wintering,201,GPS,,,,
12934050.22,3448598.464,wintering,202,GPS,,,,
12933931.11,3454621.878,wintering,203,GPS,,,,
12933992.34,3455098.239,wintering,204,GPS,,,,
12933748.55,3457672.424,wintering,205,GPS,,,,
12933631.66,3460613.515,wintering,206,GPS,,,,
12932854.65,3464556.092,wintering,207,GPS,,,,
12933092.87,3465312.2,wintering,208,GPS,,,,
12935264.72,3378202.017,wintering,209,GPS,,,,
12935376.04,3456058.695,wintering,210,GPS,,,,
12936396.84,3461578.227,wintering,211,GPS,,,,
