Lon,Lat,时间,source,...5,X,Y
118.35546,39.05841,2021/6/23 18:02,GPS,NA,13175269.5398037,4730041.76075552
118.35537,39.05858,2021/6/23 16:02,GPS,NA,13175259.5210495,4730066.13195804
118.35628,39.05635,2021/6/23 12:01,GPS,NA,13175360.8217861,4729746.44378847
118.35495,39.05707,2021/6/23 10:01,GPS,NA,13175212.7668634,4729849.66038978
118.35525,39.05703,2021/6/23 8:00,GPS,NA,13175246.1627106,4729843.92610654
118.355,39.05682,2021/6/23 6:00,GPS,NA,13175218.3328379,4729813.82117283
118.34655,39.05215,2021/6/23 4:02,GPS,NA,13174277.6831407,4729144.36792208
118.35519,39.05732,2021/6/23 2:00,GPS,NA,13175239.4835411,4729885.49973362
118.35518,39.05912,2021/6/22 22:00,GPS,NA,13175238.3703462,4730143.54675526
118.35511,39.05772,2021/6/22 20:00,GPS,NA,13175230.5779819,4729942.84294771
118.35635,39.05801,2021/6/22 18:00,GPS,NA,13175368.6141505,4729984.41698106
118.35529,39.05721,2021/6/22 16:00,GPS,NA,13175250.6154902,4729869.7304067
118.3558,39.05663,2021/6/22 14:00,GPS,NA,13175307.3884305,4729786.58345281
118.35468,39.05754,2021/6/22 12:01,GPS,NA,13175182.7106008,4729917.03846117
118.35535,39.05715,2021/6/22 10:00,GPS,NA,13175257.2946597,4729861.128966
118.35519,39.057,2021/6/22 8:00,GPS,NA,13175239.4835411,4729839.62539624
118.35503,39.05656,2021/6/22 6:00,GPS,NA,13175221.6724226,4729776.5485218
118.34702,39.05207,2021/6/22 4:00,GPS,NA,13174330.0033014,4729132.90015786
118.34617,39.05191,2021/6/22 2:00,GPS,NA,13174235.3817342,4729109.96466838
118.35557,39.05728,2021/6/22 0:00,GPS,NA,13175281.7849476,4729879.76543008
118.3555,39.05704,2021/6/21 22:00,GPS,NA,13175273.9925833,4729845.35967705
118.35519,39.05735,2021/6/21 20:00,GPS,NA,13175239.4835411,4729889.80046341
118.35515,39.05746,2021/6/21 18:00,GPS,NA,13175235.0307615,4729905.5698216
118.355,39.05703,2021/6/21 16:03,GPS,NA,13175218.3328379,4729843.92610654
118.35479,39.0558,2021/6/21 14:00,GPS,NA,13175194.9557448,4729667.59848262
118.35538,39.0578,2021/6/21 12:00,GPS,NA,13175260.6342444,4729954.31162951
118.37253,39.02987,2021/6/21 10:01,GPS,NA,13177169.7635115,4725951.09737437
118.35573,39.0578,2021/6/21 8:00,GPS,NA,13175299.5960662,4729954.31162951
118.37469,39.0536,2021/6/21 6:00,GPS,NA,13177410.2136116,4729352.22340018
118.35565,39.05724,2021/6/21 4:00,GPS,NA,13175290.6905069,4729874.03112979
118.35541,39.0577,2021/6/21 2:01,GPS,NA,13175263.9738291,4729939.97577929
118.35533,39.05776,2021/6/20 22:01,GPS,NA,13175255.0682699,4729948.57728699
118.35461,39.05722,2021/6/20 20:02,GPS,NA,13175174.9182365,4729871.16398086
118.35571,39.05751,2021/6/20 10:01,GPS,NA,13175297.3696764,4729912.73771981
118.35551,39.05745,2021/6/20 8:02,GPS,NA,13175275.1057782,4729904.13624257
118.3557,39.0573,2021/6/20 6:01,GPS,NA,13175296.2564815,4729882.63258145
118.35558,39.05679,2021/6/20 4:02,GPS,NA,13175282.8981426,4729809.52047532
118.35565,39.05704,2021/6/20 2:02,GPS,NA,13175290.6905069,4729845.35967705
118.35598,39.05605,2021/6/19 6:02,GPS,NA,13175327.4259389,4729703.43718187
118.35543,39.05776,2021/6/19 4:01,GPS,NA,13175266.2002189,4729948.57728699
118.35557,39.05769,2021/6/19 2:01,GPS,NA,13175281.7849476,4729938.54219539
118.35567,39.05735,2021/6/19 0:01,GPS,NA,13175292.9168967,4729889.80046341
118.33855,39.05153,2021/6/18 22:02,GPS,NA,13173387.1272143,4729055.49308913
118.3554,39.05675,2021/6/18 16:01,GPS,NA,13175262.8606342,4729803.78621482
118.35567,39.05678,2021/6/18 8:02,GPS,NA,13175292.9168967,4729808.08690989
118.35545,39.05767,2021/6/18 4:01,GPS,NA,13175268.4266088,4729935.67502819
