Lat,Lon,source
23.173458,120.10978,gbif
22.524468,113.994926,gbif
23.821468,120.246591,gbif
23.821468,120.246591,gbif
23.858838,120.280911,gbif
23.858838,120.280911,gbif
23.858838,120.280911,gbif
24.431031,118.238831,gbif
22.8988,120.206,gbif
23.020651,120.142538,gbif
23.50001,120.142021,gbif
22.438,120.508,gbif
23.020651,120.142538,gbif
23.50001,120.142021,gbif
22.8458,120.2172,gbif
23.020651,120.142538,gbif
23.020651,120.142538,gbif
24.431031,118.238831,gbif
24.832075,121.806366,gbif
23.079268,120.058293,gbif
23.50001,120.142021,gbif
24.467463,118.311467,gbif
22.498443,120.422001,gbif
23.020651,120.142538,gbif
23.50001,120.142021,gbif
22.8458,120.2172,gbif
23.50001,120.142021,gbif
22.937369,120.19146,gbif
23.723755,120.181074,gbif
22.937369,120.19146,gbif
23.723755,120.181074,gbif
23.938879,120.457535,gbif
23.723755,120.181074,gbif
25.147624,121.417603,gbif
23.723755,120.181074,gbif
23.858838,120.280911,gbif
24.650759,121.827137,gbif
23.858838,120.280911,gbif
23.858838,120.280911,gbif
24.467463,118.311467,gbif
24.467463,118.311467,gbif
23.18284,120.11097,gbif
23.051929,120.104429,gbif
23.020651,120.142538,gbif
23.50001,120.142021,gbif
22.8458,120.2172,gbif
23.051929,120.104429,gbif
23.020651,120.142538,gbif
23.50001,120.142021,gbif
23.50001,120.142021,gbif
23.18284,120.11097,gbif
23.18284,120.11097,gbif
23.50001,120.142021,gbif
23.051929,120.104429,gbif
23.020651,120.142538,gbif
24.013848,120.365698,gbif
23.051929,120.104429,gbif
23.50001,120.142021,gbif
23.50001,120.142021,gbif
23.051929,120.104429,gbif
22.8458,120.2172,gbif
23.020651,120.142538,gbif
22.6404,120.4193,gbif
23.051929,120.104429,gbif
23.50001,120.142021,gbif
23.31404,120.117048,gbif
23.438837,120.158766,gbif
23.821468,120.246591,gbif
24.715801,121.812548,gbif
23.31404,120.117048,gbif
23.821468,120.246591,gbif
25.120264,121.469994,gbif
22.438,120.508,gbif
20.710519,116.72802,gbif
23.079268,120.058293,gbif
23.50001,120.142021,gbif
22.498443,120.422001,gbif
23.079268,120.058293,gbif
23.50001,120.142021,gbif
23.079268,120.058293,gbif
23.50001,120.142021,gbif
22.438,120.508,gbif
22.8988,120.206,gbif
23.54974,119.604747,gbif
32.8568,120.9239,gbif
32.8542,120.9347,gbif
22.519561,113.977485,gbif
23.55407,120.151408,gbif
22.474609,114.037108,gbif
22.473871,114.039677,gbif
23.56256,120.16519,gbif
23.56256,120.16519,gbif
23.56256,120.16519,gbif
